2,0,Losers Round 3,codetoilet,codetoilet,Swooty,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 3,YoungMain,YoungMain,Sluggo,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 3,Tora,surf's up. hail satan.,Tora,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 4,Grognar,The Bullfrog,Grognar,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 4,mgmg,mgmg,PRIN$E,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 4,Vincessant,Vincessant,codetoilet,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 4,YoungMain,YoungMain,Tora,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 5,Fankriss,Fankriss,Grognar,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Losers Round 5,mgmg,Epoodle,mgmg,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 5,Question,Question,Vincessant,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 5,YoungMain,ATB,YoungMain,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Winners Round 1,Leeroy,AWaveDash,Leeroy,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Winners Round 1,Jere541,Zerg,Jere541,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Winners Round 1,A Large Book,Escargot,A Large Book,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,-1,Winners Round 1,Alice,Alice,barcode,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Winners Round 1,Crybaby,hazy,Crybaby,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Winners Round 1,tspin,JackedPuffGuy,tspin,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Winners Round 1,Chet,Schhmoney,Chet,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 1,RPG,RPG,Gewl,Melee @ Xanadu Online 386 - $500 Prize Pool!
-1,0,Winners Round 1,Besacloud,Harrison,Besacloud,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Winners Round 1,ztp,Fyzzl,ztp,Melee @ Xanadu Online 386 - $500 Prize Pool!
-1,0,Winners Round 1,Cautious,darkAsh,Cautious,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Winners Round 1,WeSkillNow,Advmultivitamin,WeSkillNow,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Winners Round 1,CB,orz,CB,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Winners Round 1,invert,Case,invert,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Hungrybox,Hungrybox,Leeroy,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Winners Round 2,chekin,volt.,chekin,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,TPN,TPN,Jere541,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Mono,Mono,A Large Book,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Warmmer,Warmmer,Alice,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Just Nate,Just Nate,Crybaby,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Plank,Plank,tspin,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Winners Round 2,Chet,AssortedGoods,Chet,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Matteo,Matteo,RPG,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Ben Snape,Ben Snape,Ronan,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,1,Winners Round 2,Captain G,Captain G,Besacloud,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Lukademus,Lukademus,ztp,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Lotfy,Lotfy,Cautious,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,1,Winners Round 2,Douglas.J.Gov,Douglas.J.Gov,WeSkillNow,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Rasen,Rasen,CB,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Dizney,Dizney,invert,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 3,Hungrybox,Hungrybox,chekin,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,1,Winners Round 3,TPN,TPN,Mono,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 3,Warmmer,Warmmer,Just Nate,Melee @ Xanadu Online 386 - $500 Prize Pool!
